label,link,specialization,films_years,description
Полина Лазарева,https://www.kinopoisk.ru/name/1691869,"Актриса,Режиссер,Сценарист","21, 1997 — 2024","Операция «Мухаббат»,Екатерина,Город,Скажи правду"
Александр Мосолов,https://www.kinopoisk.ru/name/2201119,Актер,"85, 1993 — 2023","Летчик,Лихач,Ментовские войны 8,Первый отдел,Наш спецназ,Невский. Тень архитектора"
Евгения Лютая,https://www.kinopoisk.ru/name/1671773,Актриса,"44, 2000 — 2022","Охотники за караванами,Дети Арбата,Склифосовский,Тяжелый песок,Страсти по Чапаю"
Никита Тезин,https://www.kinopoisk.ru/name/1746570,Актер,"45, 2004 — 2023","Битва за Севастополь,Молодая гвардия,Жизнь и судьба,Инквизитор,Черная метка,Сводные судьбы"
Янис Кирмушка,https://www.kinopoisk.ru/name/1124881,Актер,"4, 2005 — 2016",
Владислав Усов,https://www.kinopoisk.ru/name/3922569,Актер,"1, 2016 — 2016",
Владимир Епифанцев,https://www.kinopoisk.ru/name/558099,"Актер,Режиссер,Актер дубляжа,Сценарист,Продюсер,Оператор","146, 1999 — 2024","Я остаюсь,Капитан Волконогов бежал,Дом,Джулур: мас-рестлинг,Живой,Жуки,Воскресенский,Два холма,Банды,Тайный знак"
Вилли Герк,https://www.kinopoisk.ru/name/777951,Актер,"27, 1997 — 2017",
Константин Бурухин,https://www.kinopoisk.ru/name/3651360,Актер,"13, 2004 — 2016",Пятницкий. Глава четвёртая
Олег Загородний,https://www.kinopoisk.ru/name/3429157,Актер,"24, 2010 — 2022","Жар-птица,Демоны,1942,Женский доктор,Как закалялся стайл"
Давид Тухманов,https://www.kinopoisk.ru/name/294581,"Композитор,Актер","30, 1973 — 2023","Маленькие комедии большого дома,Куколка,Следствие ведут знатоки: Полуденный вор,Следствие ведут знатоки: Бумеранг,Следствие ведут знатоки: Без ножа и кастета"
Елена Волхонская,https://www.kinopoisk.ru/name/2039695,Актриса,"38, 2006 — 2022","Раскол,Ласточкино гнездо,Чужая стая,Банды,Грач"
Рамиз Алиев,https://www.kinopoisk.ru/name/6697127,Актер,"9, 2017 — 2022","Струны,Родком,Наш спецназ,Великолепная пятёрка,Художник"
Александр Новин,https://www.kinopoisk.ru/name/965290,"Актер,Продюсер","44, 2001 — 2024","Время первых,Пробуждение,Апостол,Охотники за бриллиантами,Однолюбы,Золотое дно"
Сергей Плешаков,https://www.kinopoisk.ru/name/6448060,Актер,"4, 2020 — 2021",Хрустальный
Данила Козловский,https://www.kinopoisk.ru/name/1054956,"Актер,Продюсер,Режиссер,Актер дубляжа,Сценарист","71, 1999 — 2023","Легенда №17,Одиночка,Экипаж,Молодой человек,Мы из будущего,Мы из будущего,13 клиническая,Всё началось в Харбине,Надвое,Пять невест"
Олег Сенцов,https://www.kinopoisk.ru/name/2635660,"Режиссер,Сценарист,Продюсер","5, 2008 — 2021",
Алексей Чистиков,https://www.kinopoisk.ru/name/1815776,"Режиссер,Сценарист","6, 2010 — 2019","Дело чести,Семейный бизнес"
Надежда Павлова,https://www.kinopoisk.ru/name/179091,Актриса,"4, 1976 — 2023","Сицилианская защита,Синяя птица"
Вероника Мустаева,https://www.kinopoisk.ru/name/6725533,Актриса,"2, 2022 — 2023",
Светлана Дорохина,https://www.kinopoisk.ru/name/1625317,Актриса,"26, 2007 — 2022","Поддубный,Казанова,Сваты 4,Деньги,Краткий курс счастливой жизни,Жена олигарха"
Антон Денисенко,https://www.kinopoisk.ru/name/2782698,Актер,"51, 2008 — 2024","Сладкая жизнь,Царская прививка,Испытание,Триггер,Ищейка"
Владимир Заец,https://www.kinopoisk.ru/name/2614477,Актер,"40, 2008 — 2022","Битва за Севастополь,По праву любви,Тонкая работа,Офицерские жены,Страсти по Чапаю,Женский доктор"
Март Китаев,https://www.kinopoisk.ru/name/4559409,Художник,"3, 1981 — 2010",
Валерия Скороходова,https://www.kinopoisk.ru/name/1601772,Актриса,"23, 2003 — 2023",Путейцы
Вера Васильева,https://www.kinopoisk.ru/name/102377,Актриса,"94, 1945 — 2020","Безумный день, или Женитьба Фигаро,Карнавал,Чук и Гек,Женатый холостяк,Выйти замуж за капитана,Следствие ведут знатоки: Ответный удар,Пока цветет папоротник,Ералаш"
Александр Петров,https://www.kinopoisk.ru/name/2286874,"Актер,Режиссер,Сценарист,Актер дубляжа,Продюсер","91, 2010 — 2024","Лёд 3,Человек божий,Лёд 2,Счастье в конверте,Происшествие в стране Мульти-Пульти,Метод,Обнимая небо,Полицейский с Рублёвки,Полицейский с Рублёвки в Бескудниково,Полицейский с Рублёвки. Снова дома"
Алла Костромичева,https://www.kinopoisk.ru/name/4993915,,5,
Андрей Аршавин,https://www.kinopoisk.ru/name/1995643,Актер,"15, 2010 — 2023",
Инга,https://www.kinopoisk.ru/name/1248329,Актриса,"13, 1997 — 2002",
Вэл Сорокин,https://www.kinopoisk.ru/name/6957508,Актер,"11, 2007 — 2023","Мастер и Маргарита,Империя,СМЕРШ. Продолжение,Моя мама — шпион,Плакать нельзя"
Ирина Цывина,https://www.kinopoisk.ru/name/1555523,Актриса,"38, 1988 — 2018","Ёлки-палки!..,Шакал,Полицейский с Рублёвки. Мы тебя найдём,По ту сторону смерти"
Алексей Дьячков,https://www.kinopoisk.ru/name/4235971,Актер,"14, 2005 — 2021","На острие,Тихий Дон"
Александр Твардовский,https://www.kinopoisk.ru/name/1277292,Сценарист,"5, 1973 — 1984",Печники
Дарья Коныжева,https://www.kinopoisk.ru/name/4498242,Актриса,"27, 2015 — 2024","Свет,Доктор Лиза,Подольские курсанты,Фрау,Волшебник,Внутри убийцы,Седьмая симфония,Триггер,Псих"
Карина Прозорова,https://www.kinopoisk.ru/name/5825553,Актриса,"16, 2017 — 2023","Такси под прикрытием,Великолепная пятёрка,Реализация,Условный мент"
Илья Аксенов,https://www.kinopoisk.ru/name/3296690,"Режиссер,Сценарист,Актер,Продюсер","16, 2012 — 2024","Родные,Квнщики,Мир! Дружба! Жвачка!,Капельник,Полярный,Филатов"
Константин Хабенский,https://www.kinopoisk.ru/name/231512,"Актер,Актер дубляжа,Режиссер,Сценарист,Продюсер","165, 1991 — 2024","Доктор Лиза,Огонь,Небесный суд,Богиня: Как я полюбила,Время первых,Метод,Нежность,Гибель Империи,Статский советник,Небесный суд. Продолжение"
Борис Руднев,https://www.kinopoisk.ru/name/315852,"Актер,Актер дубляжа","52, 1966 — 1994","Его батальон,Иван Макарович,Горячий снег,Государственная граница. Фильм 2. Мирное лето 21-го года,Беспредел,Государственная граница,Хождение по мукам,Открытая книга,Долгие версты войны"
Борис Рыцарев,https://www.kinopoisk.ru/name/193820,"Режиссер,Сценарист","18, 1958 — 1992","Ученик лекаря,Волшебная лампа Аладдина,Принцесса на горошине,На златом крыльце сидели,Иван да Марья"
Олег Малафеев,https://www.kinopoisk.ru/name/7131341,Актер,"1, 2023 — 2023",Отмороженные
Инна Степанова,https://www.kinopoisk.ru/name/1615053,Актриса,"45, 2000 — 2023","Северное сияние. Когда мёртвые возвращаются. Фильм седьмой,Северное Сияние. Тайна огненных рун. Фильм девятый,Тест на беременность,Ваша честь,Тест на беременность 2,Хрустальный,Григорий Р."
Константин Буслов,https://www.kinopoisk.ru/name/1130419,"Продюсер,Режиссер,Сценарист","17, 2006 — 2023","Бронекатер,Калашников,1941. Крылья над Берлином"
Эдуард Мацаберидзе,https://www.kinopoisk.ru/name/1897421,"Актер,Сценарист","12, 2011 — 2020",Сладкая жизнь
Наркас Искандарова,https://www.kinopoisk.ru/name/4164287,"Режиссер,Продюсер,Сценарист,Актриса","6, 2015 — 2023",
Артём Герц,https://www.kinopoisk.ru/name/6796456,Актер,"1, 2022 — 2022",
Светлана Ходченкова,https://www.kinopoisk.ru/name/224384,"Актриса,Режиссер,Сценарист,Продюсер,Оператор,Актриса дубляжа","112, 2003 — 2024","Благословите женщину,На острие,Жена Сталина,Скажи ей,Не хлебом единым,Казанова,Домашний арест,Куприн. Яма,Краткий курс счастливой жизни,«Везёт»"
Лариса Кривцова,https://www.kinopoisk.ru/name/1981672,"Продюсер,Сценарист,Актриса,Директор фильма","8, 1990 — 2014",
Данила Чванов,https://www.kinopoisk.ru/name/2328894,Актер,"8, 2009 — 2021","Отель Элеон,Листьев. Новый взгляд"
Константин Пахотин,https://www.kinopoisk.ru/name/2008028,Художник,"29, 2005 — 2023","Подольские курсанты,Русский крест,Аманат,От печали до радости,Жмурки,Женский батальонъ,Достоевский,Ладога,Василиса,Бездна"
Алина Левшин,https://www.kinopoisk.ru/name/1855437,Актриса,"40, 1986 — 2024","Наши матери, наши отцы"
Сергей Матвиенко,https://www.kinopoisk.ru/name/4748026,Актер,"28, 2009 — 2023",Истории в кино: Притворись моей
Денис Бургазлиев,https://www.kinopoisk.ru/name/17985,Актер,"63, 1984 — 2023","Превосходство Борна,Ищейка,Медсестра,Отель «Толедо»,Палач,Вавилон-Берлин"
Люсьена Овчинникова,https://www.kinopoisk.ru/name/277614,Актриса,"70, 1959 — 2011","Девчата,Мама вышла замуж,Сильные духом,Большое космическое путешествие,Девять дней одного года,Большая перемена,Женщины, которым повезло,Ералаш,Ольга Сергеевна,И снова Анискин"
Юлия Мигирова,https://www.kinopoisk.ru/name/2286863,Актриса дубляжа,"1, 2007 — 2007",
Дмитрий Назаров,https://www.kinopoisk.ru/name/273292,"Актер,Актер дубляжа","101, 1967 — 2021","Концерт,Фиксики против кработов,Фиксики: Большой секрет,Большое путешествие,Князь Владимир,Кухня,Вызов,Штрафбат,Закон,Красная капелла"
Павел Акимкин,https://www.kinopoisk.ru/name/1813399,"Актер,Композитор,Актер дубляжа","22, 2004 — 2023","Доктор,Куприн. Впотьмах,Иванько"
Светлана Казарцева,https://www.kinopoisk.ru/name/1916521,"Актриса дубляжа,Актриса","41, 2002 — 2023",Зелёный фургон
Мария Зайцева,https://www.kinopoisk.ru/name/3073228,Продюсер,"7, 2022 — 2022",
Анна Сафрончик,https://www.kinopoisk.ru/name/247752,Актриса,"22, 2000 — 2023",
Ева Жук,https://www.kinopoisk.ru/name/5780264,Актриса,"6, 2018 — 2021","Великолепная пятёрка,Крепкие орешки,Условный мент"
